Componente en el BNE,Categoría INGEI
Electricidad Servicio Público,Industria de la energía
Refinería y Extracción Petr-Gn,Industria de la energía
Refinería y Extracción Petr-gn,Industria de la energía
Refinería y Extracción de Petróleo y Gas Natural,Industria de la energía
Carbón y Leña,Industria de la energía
Plantas de Gas,Industria de la energía
Siderurgia Hornos de Coque,Industria de la energía
Siderurgia Altos Hornos,Industria de la energía
Electricidad,Industria de la energía
Electricidad Autoproducción,Industria de la energía
Siderurgia,Industrias manufactureras y de la construcción
Petroquímica,Industrias manufactureras y de la construcción
Papel y celulosa,Industrias manufactureras y de la construcción
Papel y Celulosa,Industrias manufactureras y de la construcción
Azúcar,Industrias manufactureras y de la construcción
Cemento,Industrias manufactureras y de la construcción
Cobre,Industrias manufactureras y de la construcción
Salitre,Industrias manufactureras y de la construcción
Hierro,Industrias manufactureras y de la construcción
Minas Varias,Industrias manufactureras y de la construcción
Industrias Varias,Industrias manufactureras y de la construcción
Agroindustria,Industrias manufactureras y de la construcción
Sanitarias,Industrias manufactureras y de la construcción
Construcción,Industrias manufactureras y de la construcción
Industria Lactea,Industrias manufactureras y de la construcción
Aéreo,Transporte
Aéreo,Transporte
Terrestre,Transporte
Ferroviario,Transporte
Marítimo,Transporte
Marítimo,Transporte
Transporte por Ducto,Transporte
Ducto,Transporte
Comercial,Otros sectores
Público,Otros sectores
Residencial,Otros sectores
Pesca,Otros sectores
Producción de Metanol,Metanol
Uso No Energético,Uso No Energético
